id,timestamp,x_coord,y_coord,force_class,status,report_type
blue-0,2023-05-01 00:00:00,8577.307321069267,1661.5259967176253,mechanized_patrol,resupply,regular
blue-1,2023-05-01 00:00:00,6483.6391904019665,3288.87689936787,command_post,active,regular
blue-2,2023-05-01 00:00:00,4912.968703753782,4603.448817092176,mechanized_patrol,active,contact
blue-3,2023-05-01 00:00:00,1191.90436916353,4107.789503584126,mechanized_patrol,active,regular
blue-4,2023-05-01 00:00:00,10478.393920155175,5122.616691401181,infantry_squad,maintenance,regular
blue-5,2023-05-01 00:00:00,8730.808853974808,3270.700111250393,uav_surveillance,active,sitrep
blue-6,2023-05-01 00:00:00,2219.0788610250593,5582.906438454107,uav_surveillance,active,contact
blue-7,2023-05-01 00:00:00,6061.976327026912,4601.039028693665,infantry_squad,active,regular
blue-8,2023-05-01 00:00:00,4241.923607619414,8991.680536288584,recon_team,resupply,regular
blue-9,2023-05-01 00:00:00,5166.283806314152,6155.517000233766,command_post,maintenance,sitrep
blue-0,2023-05-01 00:05:00,7306.882900711549,582.7305712839927,mechanized_patrol,maintenance,sitrep
blue-1,2023-05-01 00:05:00,6483.6391904019665,3288.87689936787,command_post,active,regular
blue-2,2023-05-01 00:05:00,4828.94459503729,2938.9015131887463,mechanized_patrol,active,regular
blue-3,2023-05-01 00:05:00,1712.6818744631644,2524.574872603327,mechanized_patrol,active,regular
blue-4,2023-05-01 00:05:00,10475.10886680948,5216.688311056401,infantry_squad,resupply,contact
blue-5,2023-05-01 00:05:00,8997.409105978164,3735.821226716148,uav_surveillance,resupply,sitrep
blue-6,2023-05-01 00:05:00,2045.2275762053278,6231.728266362474,uav_surveillance,active,regular
blue-7,2023-05-01 00:05:00,6384.7002415486095,4517.610100216169,infantry_squad,maintenance,regular
blue-8,2023-05-01 00:05:00,4241.923607619414,8991.680536288584,recon_team,maintenance,regular
blue-9,2023-05-01 00:05:00,5166.283806314152,6155.517000233766,command_post,active,regular
blue-0,2023-05-01 00:10:00,8556.144089581878,1357.1240554813562,mechanized_patrol,active,contact
blue-1,2023-05-01 00:10:00,6483.6391904019665,3288.87689936787,command_post,active,regular
